site gpp ndvi rich
5 6173.5 3783 4.17
5 6200 4362 1.5
5 6724.33 4917 2
5 4510.67 3361 3
5 7129.67 5799 3.5
5 5463.17 4053 3.17
5 6596 5377 3.17
5 6753.17 5784 1.33
5 6751.33 5436 6
5 5290.67 5308 3.33
5 6649.33 4373 3
5 5679.56 6346 3.25
5 7049.5 5894 3.83
5 4251.33 5768 8.11
5 6041.5 6310 7.67
5 6916.33 6660 4.83
5 5158 6255 4.5
5 4720 6078 3.33
5 5328.67 4420 3.17
